# time, x_measured, y_measured, x_predicted, y_predicted, x_kalman, y_kalman
8.842377701934015732e+00,6.265738072883586938e+02,1.174987657458714239e+03,6.304622659493438732e+02,1.402873595586190959e+03,6.298169825826724946e+02,1.365056296190057537e+03
8.875745164960182620e+00,6.147710244775996671e+02,1.177169053286911776e+03,6.202696000159254481e+02,1.390844768773170699e+03,6.193571203820561095e+02,1.355385632625148673e+03
8.909112627986347732e+00,6.064601128014396636e+02,1.178748722414371514e+03,6.092829258827221111e+02,1.377982363039533993e+03,6.088144846602727966e+02,1.344919865637096336e+03
8.942480091012514620e+00,5.959054877404038280e+02,1.179282284044761582e+03,5.982509001957538430e+02,1.364401328757469628e+03,5.978616828277953346e+02,1.333681125503785779e+03
8.975847554038679732e+00,5.865042395381343567e+02,1.180678625006230504e+03,5.868141288227387804e+02,1.350128608176219814e+03,5.867627032018688169e+02,1.322008660104936780e+03
9.009215017064846620e+00,5.784652353123874491e+02,1.180672165002991505e+03,5.752609008964556097e+02,1.335536995674705167e+03,5.757926549615401655e+02,1.309837429849468435e+03
9.042582480091011732e+00,5.672529069270981381e+02,1.182581462935452919e+03,5.638904671251525542e+02,1.320555461203922050e+03,5.644484585209313536e+02,1.297658901440842101e+03
9.075949943117178620e+00,5.557848472359440848e+02,1.185974001715693475e+03,5.521505036382715161e+02,1.305720898035867322e+03,5.527536170250546093e+02,1.285849096084428993e+03
9.109317406143343732e+00,5.436822164362906733e+02,1.190106347140457729e+03,5.400663724663294261e+02,1.291441410118683280e+03,5.406664158700955340e+02,1.274625021852085411e+03
9.142684869169510620e+00,5.305057690216167430e+02,1.193297440825024523e+03,5.275920759691696276e+02,1.277949280763800971e+03,5.280755985744713144e+02,1.263901446124389395e+03
9.176052332195677508e+00,5.170065989813015221e+02,1.195432673312496263e+03,5.146058255514165012e+02,1.265145237580723915e+03,5.150042299827214265e+02,1.253576551349711735e+03
9.209419795221842620e+00,5.092766464037375727e+02,1.196922999521809288e+03,5.011331188635303988e+02,1.252912008163939163e+03,5.024845239641060743e+02,1.243620723584673897e+03
